title,description,city,date,date_start,date_end,url
Voyage dans le système solaire,Séance live de planétarium : Présentation du ciel du soir suivie d'une exploration du système solaire et de son contenu.,Paris,11 septembre 2021 - 17 décembre 2025,2021-09-11 09:40:00+00:00,2021-09-11T10:40:00+00:00,https://openagenda.com/culture/events/voyage-dans-le-systeme-solaire-6106253
"Sténopé, représentation de l'espace",L’œuvre de l’artiste Philippe Comar joue avec les desseins de la perspective et piège le visiteur dans deux salles aux architectures insolites : la salle à double perspective et la salle en miettes.,Paris,8 juin 2022 - 5 juillet 2025,2022-06-08 08:00:00+00:00,2022-06-08T17:00:00+00:00,https://openagenda.com/cite-des-sciences/events/stenope-representation-de-lespace
Mathématiques,"Quelques applications concrètes pour comprendre les mouvements, calculer une probabilité, modéliser des phénomènes physiques... C'est amusant et chacun y trouve son compte.",Paris,24 janvier 2023 - 23 février 2025,2023-01-24 09:00:00+00:00,2023-01-24T17:00:00+00:00,https://openagenda.com/cite-des-sciences/events/mathematiques_911
Le grand récit de l'Univers,"Une enquête passionnante pour découvrir la généalogie de la matière, en remontant le temps jusqu'à la formation des tout premiers atomes, voilà 13,7 milliards d'années.",Paris,24 janvier 2023 - 23 février 2025,2023-01-24 09:00:00+00:00,2023-01-24T17:00:00+00:00,https://openagenda.com/cite-des-sciences/events/le-grand-recit-de-lunivers_761
L'aquarium,"Derrière les vitres de l'aquarium, se niche une communauté de plantes et d'animaux.",Paris,24 janvier 2023 - 23 février 2025,2023-01-24 09:00:00+00:00,2023-01-24T17:00:00+00:00,https://openagenda.com/echosciences/events/laquarium_847
"C3RV4U, l'expo neuroludique",Qu'avons-nous dans la tête ? De quoi est fait notre cerveau ? Comment fonctionne-t-il ? Des expériences inédites pour comprendre le fonctionnement du cerveau et... mieux se connaître soi-même.,Paris,24 janvier 2023 - 23 février 2025,2023-01-24 09:00:00+00:00,2023-01-24T17:00:00+00:00,https://openagenda.com/cdf1530/events/c3rv4u-lexpo-neuroludique_849
Carrefour numérique,Le Carrefour numérique² un espace collaboratif dédié au numérique et à l'expérience utilisateur·trice. Approchez différemment les sciences et les techniques grâce à l'entraide et à la convivialité..,Paris,24 janvier 2023 - 22 février 2025,2023-01-24 11:00:00+00:00,2023-01-24T17:45:00+00:00,https://openagenda.com/cite-des-sciences/events/carrefour-numerique_390
Apprendre et se former,"À la bibliothèque vous bénéficiez de ressources à emprunter ou à consulter sur place, d'espaces de travail, du wifi et de divers dispositifs d'aide au travail. Pour tous, tous les jours.",Paris,14 février 2023 - 16 mars 2025,2023-02-14 11:00:00+00:00,2023-02-14T17:30:00+00:00,https://openagenda.com/cite-des-sciences/events/apprendre-et-se-former_537
Sous l'océan,"Attenante au sous-marin l'Argonaute, l'exposition explore les fonds marins dans un parcours en trois temps, sous l'angle scientifique, technologique et géopolitique.",Paris,21 février 2023 - 23 mars 2025,2023-02-21 09:00:00+00:00,2023-02-21T16:00:00+00:00,https://openagenda.com/cite-des-sciences/events/sous-locean_339177
Apprendre à reconnaître les arbres au Bois de Vincennes,"Richard, naturaliste passionné, vous donne rendez-vous aux confins du Bois de Vincennes, près de Joinville-le-Pont, pour une balade arbres et nature riche en découvertes à travers l'Arboretum de Paris",Paris,1 avril 2023 - 8 juin 2025,2023-04-01 14:00:00+00:00,2023-04-01T17:00:00+00:00,https://openagenda.com/jep-2024-ile-de-france/events/le-monde-des-arbres-a-larboretum-bois-de-vincennes-7815457
